Ciudad,Días,Descripción,Lugares
hochiminh-2,dia3,"Últimas horas en HCMC. Fui a hacer la colada a una lavandería autoservicio muy moderna; metes la ropa y la misma máquina te lava y seca, por lo que no tienes que volver a cambiar la ropa de máquina; además, con un código QR puedes ver en tiempo real cuánto le queda para acabar. Mientras mi ropa quedaba limpia, me fui a desayunar, a comprar últimos souvenirs y a tomarme un café. Cuando hubo acabado, volví y acabé la maleta, descansé el rato que quedaba hasta marchar y pedí el grab con parada para recoger a Sophie, que desde la vuelta del Mekong se alojaba en otro homestay no muy lejos del mío.
Cogimos el grab y llegamos al aeropuerto, nos tomamos un café y esperamos juntas hasta que se acercó la hora y nos despedimos en mi puerta de embarque. Sophie es la única persona con la que he seguido hablando después de volver de Vietnam; me gustaría visitarla en Viena o que ella viniera a Barcelona porque me gustó mucho el tiempo que compartimos y creo que podríamos ser amigas. Cogí el avión de vuelta a Hanoi.","SESA Coin Laundry Cửa hàng giặt sấy tự động
Cam Tom Street Food
AM:PM cafe & pop-ups"
hanoi-2,dia1,"Aterricé en Hanoi ya anocheciendo y cogí un grab desde Nội Bài. Era hora punta y tardé más de una hora en llegar cerca de mi homestay. Había también muchas calles cortadas porque nos acercábamos al año nuevo y había celebraciones previas por todas partes. Me alojé en una habitación en un 4.º piso sin ascensor a la que se accedía por un spa. Bajé a dar una vuelta para ver qué cenar y con la misión de comprar unos guantes para mi próxima experiencia motera (los compré, pero nunca los usé). Era la segunda vez que estaba en Hanoi y encontré la ciudad distinta; no me apetecía nada llegar allí cuando estaba en Ho Chi Minh City, pero después de tres semanas en Vietnam, ya no me abrumaba tanto y se me hizo más cómoda. Fui a cenar a un sitio en el que el único plato que servían era bún bò Nam Bộ, una especie de ensalada de vermicelli y ternera, con lechuga, hierbas y cacahuetes. Después, de camino a mi habitación, compré un roti —que es como un bollito caliente relleno de cosas, el mío siempre de chocolate— y me lo llevé a la habitación para acompañar mi infusión nocturna. En Hanoi hay un sitio muy famoso de rotis en el Old Quarter en el que siempre hay mucha cola, pero justo al lado hay otro que (para mi gusto) está más bueno y no tiene tanta fila. Me fui a dormir y estuve toda la noche tosiendo sin parar.","Bún Bò Nam Bộ Bách Phương
Cake"
hanoi-2,dia2,"Me levanté y avisé a la señora del homestay. El día de llegada te pregunta qué vas a querer de desayunar, te da un montón de opciones y cuando te levantas le avisas y a los 15 minutos te suben el desayuno en una bandejita. Así que desayuné fideos con ternera picantes y un té, y bajé a la calle a acabar de hacer algunos recados: comprar desodorante, snacks para el autobús, sacar dinero… Me di cuenta de que me había dejado la cartera con la tarjeta en el 4.º piso y tuve que volver; aproveché para hacer el check-out y dejé las mochilas abajo mientras sacaba dinero, volví y cogí un grab hasta el punto de salida del autobús hacia Ha Giang. Llegué media hora antes, pero nada más llegar me subieron a un autobús, me puse cómoda y empezaron las 7 horas de trayecto.",
hagiang,dia1,"Llegué a Ha Giang hacia las 19:30, nos dejó el autobús en la puerta del hostel de la compañía que escogí para hacer el Ha Giang Loop: Road Kings. El hostel se llama Top of the Loop; tiene habitaciones de 6 camas cada una, bastante cómodas. Me metí en una habitación con otras dos chicas americanas jovencitas; por la noche, en el siguiente bus, llegó otro chico, pero no nos enteramos de nada. Dejé las cosas en la habitación y me fui a dar un paseo por la ciudad; llegué a una plaza donde estaban ensayando un espectáculo para las celebraciones del Tết y había varios puestos de cosas típicas de la región, entre ellas los típicos pañuelos de colores que ya sabía que quería. Compré uno para mí y otro para llevarle a mi madre. De vuelta al hostel y buscando qué cenar, me encontré a otras dos chicas que había conocido cenando en un sitio y les pregunté por lo que estaban comiendo. Era bánh cuốn: unas láminas de crepe de arroz rellenas de una mezcla de carne y hongos, enrolladas y cortadas en trozos. Allí te lo servían con un caldo para mojar y además hacían unos especiales que llevaban huevo dentro. Delicioso. Ya con el estómago llenito, volví al hostel, me di una ducha y me fui a dormir con mi pack de medicamentos y pañuelos a mano.","Top Of The Loop Hostel Ha Giang
Tượng Đài Hồ Chí Minh
Hà Giang cột mốc số 0
Quán bánh cuốn Bà Mai"
hagiang,dia2,"Primer día del loop en Ha Giang. Llegó el momento de subirse a las motos. Todo el viaje pensando si esto era una buena idea, si lo iba a disfrutar, si iba a pasar miedo… Subimos a desayunar y nos sentaron en mesas con el grupo con el que iríamos todos los días. En mi grupo éramos 8: dos parejas y cuatro solo travellers. Louise y Valentin, de Francia; Nina y David, de Glasgow; Robin, de Ohio; Jack, de Chicago y Carmen, de Tossa. Después de desayunar, nuestro leader Tuấn nos explicó el recorrido que haríamos los próximos 4 días. Recogimos las cosas y bajamos al hall a que nos presentaran a nuestros riders. Porque lo más habitual del loop es que alguien te lleve en la moto, y pasarás los 4 días siguientes yendo de paquete. Mi conductor se llamaba Thạch, tenía más o menos mi edad y era la persona más amable y dulce que he conocido en Vietnam. Si pones su nombre en el traductor, literal en inglés se traduce como Jelly. Apropiado 100%. No hablaba casi inglés, así que no hablábamos prácticamente, pero desde el primer momento me hizo sentir segura y tranquila en la moto; perdí los miedos gracias a él. Nos pusimos en marcha parando en varios puntos para admirar las vistas y tomar café. Los paisajes de Ha Giang, incluso con la niebla que había, son increíbles. Las montañas, los bosques, los valles, toda la inmensidad de la naturaleza y los pequeños pueblos y ciudades aquí y allá, cómo se mantiene la tradición de las etnias entre las montañas. La vida sencilla y, a veces, increíblemente dura, de las personas que viven allí. Andar kilómetros arriba y abajo para ir al campo, a la escuela. El día acabó en Du Gia; nos alojamos en un homestay de cabañas de madera con una pared de cristal por la que se veían las montañas desde la cama. Fuimos a una cascada y algunos del grupo subieron y saltaron al agua desde arriba; después volvimos y cenamos en el homestay con otros grupos de personas que también estaban haciendo el loop. Me fui a la cama temprano, cansada del largo día.","Thác Du Già
Du Già Mit's Homestay"
hagiang,dia3,"Comenzamos temprano el segundo día de recorrido desayunando en el homestay y poniendo rumbo enseguida hacia el paseo en barco de bambú que nos esperaba antes de comer. En unas barcas hechas con tubos de plástico y bambú atados entre sí, fuimos flotando hasta el interior de una cueva donde algunos saltaron al agua para bañarse. No hacía calor, y aunque las dos veces que tuvimos oportunidad de bañarnos me puse el bikini por si acaso, llegada la hora de la verdad me daba miedo que el frío empeorara mi resfriado. La barca la llevaba una mujer tirando de unas cuerdas atadas a los árboles y las rocas durante todo el recorrido, que actuaban como guías para transportar la barca en la dirección correcta. Después de volver a tierra fuimos a comer y nos dirigimos a Mèo Vạc, al cañón de Tu Sản atravesado por el río Nho Quế. Paramos antes para tomar un café y hacer fotos. Al llegar al cañón nos subimos a un barco y dimos una vuelta entre los altos acantilados que rodean el río; es el cañón más profundo del sudeste asiático. El agua del río Nho Quế tiene un color verde intenso y hace que el paisaje sea aún más increíble. Al volver al embarcadero volvimos a subir hasta Mèo Vạc y llegamos hasta el homestay donde nos quedamos esa noche. Cenamos hot pot y dimos una vuelta después de cenar, buscando snacks en las tiendas locales, antes de ir a ver un espectáculo tradicional en un local del pueblo.","Hang Thầm Lín
Nhà hàng Phấn Kết
Bến thuyền hẻm Tu Sản"
hagiang,dia4,"Tercer día de camino, y para mi gusto, el mejor de todo el viaje. Nos levantamos y desayunamos en el homestay y salimos camino a Mã Pí Lèng Pass, uno de los tramos más famosos del loop. Fuimos a hacer una ruta de senderismo por el Sky Path, un camino que pasa por debajo de los White Cliffs y que tiene unas vistas increíbles del río Nho Quế y del cañón de Tu Sản, el que habíamos visitado el día anterior en el barco; hoy lo veíamos desde las alturas. Fueron 3 horas de camino, y mereció la pena cada momento que se me salía el corazón por la boca. Es uno de los lugares más bonitos en los que he estado jamás; la inmensidad de las montañas me pareció espectacular. Cuando elegí la ruta con Road Kings, para los 4 días había dos opciones: esta de los acantilados y otra en la que se visitaba una cascada muy grande. Estuve a punto de coger la segunda solo por el miedo a pasarlo mal durante el trekking, por si la altura me paralizaba. Me hizo inmensamente feliz haber elegido a pesar del miedo, porque fue lo mejor del viaje. Cada vez que he tenido miedo o que he dudado sobre si hacer algo en Vietnam, he pensado que quizás no pudiera hacerlo nunca más y eso me ha hecho tirar hacia delante. Ese día me dolía el gemelo un montón; era el tercer día en la moto y cuando bajábamos las pendientes del 10% clavaba los pies para no irme hacia delante, además de agarrarme a la moto como si se me fueran a caer los brazos. Tenía una contractura bestia en el gemelo de la tensión de todo el tiempo, pero no hubo otra que subir ese camino. No regrets. Parece que ir de paquete fuera ir de paseo y os aseguro que no; el cuerpo se cansa, se tensa, y tenía agujetas y contracturas al acabar que me duraron semanas. Pero lo dicho, no cambiaría absolutamente nada de cómo fue. Después de acabar el trekking nos tomamos un café y nos recogieron nuestros drivers para ir a Đồng Văn a comer; y por primera vez desde que empezamos, salió el sol. Después de comer salimos otra vez y fuimos entre árboles y bosques hasta la frontera con China y a ver la famosa torre de la bandera de Lũng Cú, desde un pueblo de una etnia llamada Lô Lô que hacen sus casas de barro. La bandera tiene 54 m² de tela, uno por cada etnia que compone el pueblo vietnamita, y se encuentra en el punto más al norte de Vietnam. Nunca había visto montañas tan grandes como las que vimos allí. Después emprendimos el camino de vuelta a Đồng Văn y dejamos las cosas en el alojamiento. Ahí Tuấn nos dijo que podíamos ir a un spa que hacían baños herbales, que es una cosa tradicional del norte de Vietnam; también los hacen en Sa Pa. Algunos del grupo fuimos y nos dimos el baño y un masaje. Te llenan una bañera redonda de madera con agua roja oscura caliente y te metes ahí 15-20 minutillos; luego, en mi caso, apareció una chica joven y pequeñita a darme el masaje y me dejó partida en dos. Ya relajadas y ligeras, nos fuimos a cenar hot pot delicioso y a dar un paseo nocturno por los bares del pueblo. Yo me retiré pronto como siempre, y le pedí a la señora del homestay un hervidor para hacerme mi infusión nocturna. Como no tenía más que el suyo propio, me subió un termo grande con agua hirviendo dentro y pude completar mi ritual diario, con bizcochito incluido.","Mã Pì Lèng Panorama View Point
Ma Pi Leng B(White Cliff)
Mỏm Đá Tử Thần
Youth Volunteer Monument
Lung Cu Flag Point
Bản Du lịch Lô Lô Chải
Như Ý Massage Cơ Sở 3"
hagiang,dia5,Último día del Ha Giang Loop.,
hanoi-3,dia1,,
hanoi-3,dia2,,
hanoi-3,dia3,,
